"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Incline Bench Press (Dumbbell)",,"planet fitnwss stilk cant do 10",0,"normal",130,9,,,9.5
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Incline Bench Press (Dumbbell)",,"planet fitnwss stilk cant do 10",1,"normal",130,7,,,10
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Incline Bench Press (Dumbbell)",,"planet fitnwss stilk cant do 10",2,"normal",130,7,,,10
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Incline Bench Press (Dumbbell)",,"planet fitnwss stilk cant do 10",3,"dropset",80,6,,,9
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Incline Bench Press (Dumbbell)",,"planet fitnwss stilk cant do 10",4,"warmup",70,16,,,6
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Incline Bench Press (Dumbbell)",,"planet fitnwss stilk cant do 10",5,"warmup",100,9,,,6
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Single Arm Lat Pulldown",,"",0,"normal",77.5,20,,,9.5
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Single Arm Lat Pulldown",,"",1,"normal",77.5,16,,,10
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Single Arm Lat Pulldown",,"",2,"normal",77.5,16,,,10
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Single Arm Lat Pulldown",,"",3,"warmup",52.5,20,,,
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Chest Fly (Machine)",,"",0,"normal",180,11,,,
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Chest Fly (Machine)",,"",1,"normal",190,9,,,
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Chest Fly (Machine)",,"",2,"dropset",160,3,,,
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Chest Fly (Machine)",,"",3,"normal",190,9,,,
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Chest Fly (Machine)",,"",4,"dropset",160,2,,,
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Face Pull",,"",0,"normal",60,12,,,
"chets and back 🐫🐪","8 Mar 2025, 13:28","8 Mar 2025, 15:35","","Face Pull",,"",1,"normal",60,12,,,
